"ShaderTypeName","ShaderType","Frequency","NumShaders","ShadersSize"
"FARGB16BigConvertPS","Global","SF_Pixel","1","1176"
"FAYUVConvertPS","Global","SF_Pixel","1","585"
"FAccumulateCubeFacesPS","Global","SF_Pixel","1","466"
"FAccumulateDiffuseIrradiancePS","Global","SF_Pixel","1","806"
"FAllocateBottomLevelGrid","Global","SF_Compute","2","1558"
"FAllocatePagesCS","Global","SF_Compute","12","24346"
"FAllocateSparseVoxels","Global","SF_Compute","1","461"
"FAllocateSparseVoxelsToRefine","Global","SF_Compute","1","841"
"FAlphaInvertPS","Global","SF_Pixel","1","292"
"FAmbientCubemapCompositePS","Global","SF_Pixel","1","2666"
"FAmbientOcclusionCS","Global","SF_Compute","14","39025"
"FAmbientOcclusionPS","Global","SF_Pixel","18","48137"
"FAmbientOcclusionSetupPS","Global","SF_Pixel","1","1065"
"FAmbientOcclusionSmoothCS","Global","SF_Compute","1","466"
"FApplyLightShaftsPixelShader","Global","SF_Pixel","1","382"
"FApplyLocalExposureCS","Global","SF_Compute","1","1024"
"FApplyLowerHemisphereColorPS","Global","SF_Pixel","1","710"
"FBMPConvertPS","Global","SF_Pixel","1","557"
"FBasicEyeAdaptationCS","Global","SF_Compute","2","3377"
"FBasicEyeAdaptationSetupPS","Global","SF_Pixel","1","445"
"FBinkDrawICtCpPS","Global","SF_Pixel","8","6249"
"FBinkDrawVS","Global","SF_Vertex","1","447"
"FBinkDrawYCbCrPS","Global","SF_Pixel","4","1801"
"FBlendDistortionDisplacementMapCS","Global","SF_Compute","4","3027"
"FBloomClampKernelCS","Global","SF_Compute","1","437"
"FBloomDownsampleKernelCS","Global","SF_Compute","1","543"
"FBloomFinalizeApplyConstantsCS","Global","SF_Compute","1","452"
"FBloomFindKernelCenterCS","Global","SF_Compute","1","754"
"FBloomPackKernelConstantsCS","Global","SF_Compute","1","344"
"FBloomReduceKernelSurveyCS","Global","SF_Compute","1","679"
"FBloomResizeKernelCS","Global","SF_Compute","1","964"
"FBloomSetupCS","Global","SF_Compute","4","3420"
"FBloomSetupPS","Global","SF_Pixel","4","2967"
"FBloomSumScatterDispersionEnergyCS","Global","SF_Compute","1","585"
"FBloomSurveyKernelCenterEnergyCS","Global","SF_Compute","1","725"
"FBloomSurveyMaxScatterDispersionCS","Global","SF_Compute","1","717"
"FBlurLightShaftsPixelShader","Global","SF_Pixel","1","770"
"FBuildFeedbackHashTableCS","Global","SF_Compute","2","1415"
"FBuildFeedbackHashTableIndirectArgsCS","Global","SF_Compute","1","369"
"FBuildGridTilesCS","Global","SF_Compute","1","1140"
"FBuildHeightfieldComposeTilesCS","Global","SF_Compute","1","364"
"FBuildHeightfieldComposeTilesIndirectArgBufferCS","Global","SF_Compute","1","321"
"FBuildIndirectDispatchArgsBufferCS","Global","SF_Compute","1","458"
"FBuildInstanceIdBufferAndCommandsFromPrimitiveIdsCs","Global","SF_Compute","64","238438"
"FBuildLandscapeTileDataCS","Global","SF_Compute","1","1909"
"FBuildMajorantVoxelGridCS","Global","SF_Compute","2","1323"
"FBuildPhysicsFieldClipmapCS","Global","SF_Compute","1","5951"
"FBuildShadingEnergyConservationTableCS","Global","SF_Compute","4","7627"
"FBuildTileConesCS","Global","SF_Compute","1","1098"
"FCalculateCompactBlockInstanceOffsetsCs","Global","SF_Compute","1","786"
"FCalculateExposureIlluminanceCS","Global","SF_Compute","1","2649"
"FCalculateShadingRateImageCS","Global","SF_Compute","2","2114"
"FCalibratedMapDerivedDataCS","Global","SF_Compute","17","11778"
"FCapsuleShadowingCS","Global","SF_Compute","15","70045"
"FCapsuleShadowingUpsamplePS","Global","SF_Pixel","4","3609"
"FCapsuleShadowingUpsampleVS","Global","SF_Vertex","1","613"
"FClearAABBCS","Global","SF_Compute","1","353"
"FClearAllocator","Global","SF_Compute","1","221"
"FClearIndirectArgBufferCS","Global","SF_Compute","1","348"
"FClearIndirectArgInstanceCountCs","Global","SF_Compute","1","360"
"FClearIndirectDispatchArgsCS","Global","SF_Compute","1","424"
"FClearMessageBufferCS","Global","SF_Compute","1","154"
"FClearPressureGridCS","Global","SF_Compute","1","615"
"FClearReplacementCS_Buffer_Float4_Bounds","Global","SF_Compute","1","334"
